award,year,file,url,bytes,tier,project,company,page,fetched
DFA,2020,DFA_2020_14_7e3204e6_application_20201016_qUlJt.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_qUlJt.jpg,1606095,Silver Award,keep running,China Academy of Art,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,2026-09-02T22:47:31
DFA,2020,DFA_2020_15_586f0ed5_application_20201016_IVk9L.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_IVk9L.jpg,312460,Silver Award,Kontrapunkt Type,Kontrapunkt,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,2026-09-02T22:47:33
DFA,2020,DFA_2020_16_451dcaaf_application_20201016_LnqJE.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_LnqJE.jpg,4230933,Silver Award,"Public Media Art ""Wave""","d'strict holdings, Inc.",https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,2026-09-02T22:47:37
DFA,2021,DFA_2021_01_a7cc03c4_application_20211011_rIUxU.jpg,https://dfaawards.com/lib/uploads/index/application_20211011_rIUxU.jpg,3687890,Gold Award,KITAMURA Camera,"6D-K co.,Ltd.",https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2021&design_category=3,2026-09-02T22:47:42
DFA,2021,DFA_2021_02_f0ac5dcf_application_20211011_tgP7z.jpg,https://dfaawards.com/lib/uploads/index/application_20211011_tgP7z.jpg,2209305,Gold Award,Li Binyuan,hesign International,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2021&design_category=3,2026-09-02T22:47:46
DFA,2021,DFA_2021_03_85453e67_application_20211011_7jY7X.jpg,https://dfaawards.com/lib/uploads/index/application_20211011_7jY7X.jpg,3550754,Gold Award,Matsumoto Jujo,artless Inc.,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2021&design_category=3,2026-09-02T22:47:49
DFA,2021,DFA_2021_04_930d4fde_application_20211011_t2bgy.jpg,https://dfaawards.com/lib/uploads/index/application_20211011_t2bgy.jpg,3268569,Gold Award,my CLINIC,"6D-K co.,Ltd.",https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2021&design_category=3,2026-09-02T22:47:53
DFA,2021,DFA_2021_05_344c498b_application_20211011_ahetP.jpg,https://dfaawards.com/lib/uploads/index/application_20211011_ahetP.jpg,3861369,Gold Award,The Painted Screen: Past and Future,Phoenix Publishing House,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2021&design_category=3,2026-09-02T22:47:58
DFA,2021,DFA_2021_06_c141388c_application_20211011_anDUj.jpg,https://dfaawards.com/lib/uploads/index/application_20211011_anDUj.jpg,2690709,Silver Award,20 YEARS 20 PEOPLE 20 STORIES,LiaoDesign,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2021&design_category=3,2026-09-02T22:48:01
DFA,2021,DFA_2021_07_374b325e_application_20211011_J3k04.jpg,https://dfaawards.com/lib/uploads/index/application_20211011_J3k04.jpg,1894327,Silver Award,"Browse Leipzig, 1991-2003",Nanjing Han Qing Tang Design,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2021&design_category=3,2026-09-02T22:48:04
DFA,2021,DFA_2021_08_b10d0f5c_application_20211011_kg3sN.jpg,https://dfaawards.com/lib/uploads/index/application_20211011_kg3sN.jpg,1033702,Silver Award,Ceramic Art,Day Day Up Design Consultancy,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2021&design_category=3,2026-09-02T22:48:07
DFA,2021,DFA_2021_09_0a8867c2_application_20211011_1iLX6.JPG,https://dfaawards.com/lib/uploads/index/application_20211011_1iLX6.JPG,3660101,Silver Award,daydream,hesign International,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2021&design_category=3,2026-09-02T22:48:10
DFA,2021,DFA_2021_10_7b86e172_application_20211011_1B3Pk.jpg,https://dfaawards.com/lib/uploads/index/application_20211011_1B3Pk.jpg,3479510,Silver Award,Hito to Ki to Hitotoki,BULLET Inc.,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2021&design_category=3,2026-09-02T22:48:13
DFA,2021,DFA_2021_11_01c83766_application_20211011_y6Hgj.jpg,https://dfaawards.com/lib/uploads/index/application_20211011_y6Hgj.jpg,4331376,Silver Award,Hong Kong Reminiscence,Hei Shing Book Design ,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2021&design_category=3,2026-09-02T22:48:18
DFA,2021,DFA_2021_12_b3fc62c1_application_20211011_XgNOP.jpg,https://dfaawards.com/lib/uploads/index/application_20211011_XgNOP.jpg,4171869,Silver Award,MIRURU - Nasushiobara-library -,"6D-K co.,Ltd.",https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2021&design_category=3,2026-09-02T22:48:22
DFA,2021,DFA_2021_13_88cd8938_application_20211011_Lc3YS.jpg,https://dfaawards.com/lib/uploads/index/application_20211011_Lc3YS.jpg,2377918,Silver Award,neko neko shokupan,& Rainbow Inc.,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2021&design_category=3,2026-09-02T22:48:24
DFA,2021,DFA_2021_14_bd28f3fe_application_20211015_mZnQw.jpg,https://dfaawards.com/lib/uploads/index/application_20211015_mZnQw.jpg,3776903,Silver Award,Open A Book，Open A World,Heaven&Hell、cover design,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2021&design_category=3,2026-09-02T22:48:29
DFA,2021,DFA_2021_15_4a9c1686_application_20211011_25SK4.jpg,https://dfaawards.com/lib/uploads/index/application_20211011_25SK4.jpg,1609927,Silver Award,Overwintering Tomato,Frame inc.,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2021&design_category=3,2026-09-02T22:48:32
DFA,2021,DFA_2021_16_185a85c6_application_20211011_D3oHz.JPG,https://dfaawards.com/lib/uploads/index/application_20211011_D3oHz.JPG,3472704,Bronze Award,2020 Xi'an Design Exhibition,hill,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2021&design_category=3,2026-09-02T22:48:36
DFA,2022,DFA_2022_01_b5afb106_application_20220926_Bh3bQ.jpg,https://dfaawards.com/lib/uploads/index/application_20220926_Bh3bQ.jpg,1663002,Gold Award,A SHOWY LIFE,LINLIN Design Studio,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2022&design_category=3,2026-09-02T22:48:40
DFA,2022,DFA_2022_02_84a8c629_application_20220926_Q0fgg.jpg,https://dfaawards.com/lib/uploads/index/application_20220926_Q0fgg.jpg,1880557,Gold Award,Collection of Qu Yuan,Nanjing Han Qing Tang Design,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2022&design_category=3,2026-09-02T22:48:47
DFA,2022,DFA_2022_03_6adf14c7_application_20220926_zodZG.jpg,https://dfaawards.com/lib/uploads/index/application_20220926_zodZG.jpg,1747262,Gold Award,D&AD Exhibition in Taiwan,Ken-Tsai Lee Design Lab,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2022&design_category=3,2026-09-02T22:48:50
DFA,2022,DFA_2022_04_fb43ccdd_application_20220926_31vOp.jpg,https://dfaawards.com/lib/uploads/index/application_20220926_31vOp.jpg,4859830,Gold Award,Hong Kong International Poster Triennial 2020,TGIF,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2022&design_category=3,2026-09-02T22:48:56
DFA,2022,DFA_2022_05_e87736fc_application_20220926_rkLH0.jpg,https://dfaawards.com/lib/uploads/index/application_20220926_rkLH0.jpg,3072256,Gold Award,Pinghu Economic Development Zone Kindergarten,RIFLING,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2022&design_category=3,2026-09-02T22:49:13
DFA,2022,DFA_2022_06_b7fb1560_application_20220926_6U34U.jpg,https://dfaawards.com/lib/uploads/index/application_20220926_6U34U.jpg,1524772,Gold Award,The Five Great Mountains of China,Centre Design,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2022&design_category=3,2026-09-02T22:49:15
DFA,2022,DFA_2022_07_12c8cc2a_application_20220926_FOYvu.jpg,https://dfaawards.com/lib/uploads/index/application_20220926_FOYvu.jpg,5062001,Gold Award,TOTETSU Training Institute,MOTIVE Inc.,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2022&design_category=3,2026-09-02T22:49:39
DFA,2022,DFA_2022_08_427a8e70_application_20220926_NBPws.jpg,https://dfaawards.com/lib/uploads/index/application_20220926_NBPws.jpg,2431094,Silver Award," ""60 Years of Cultural Dynamic"" ",CoDesign Ltd,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2022&design_category=3,2026-09-02T22:49:42
DFA,2022,DFA_2022_09_756f94cc_application_20220926_Tvye2.jpg,https://dfaawards.com/lib/uploads/index/application_20220926_Tvye2.jpg,1189451,Silver Award,100 Years of Mingei: The Folk Crafts Movement,aizawa office Inc.,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2022&design_category=3,2026-09-02T22:49:44
DFA,2022,DFA_2022_10_63057222_application_20220926_q4Lju.jpg,https://dfaawards.com/lib/uploads/index/application_20220926_q4Lju.jpg,2162142,Silver Award,Dali mixed tea,Linshaobin Design,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2022&design_category=3,2026-09-02T22:49:47
DFA,2022,DFA_2022_11_7c421225_application_20221026_UwRzE.jpg,https://dfaawards.com/lib/uploads/index/application_20221026_UwRzE.jpg,2541811,Silver Award,Dino Burger,Untitled Design,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2022&design_category=3,2026-09-02T22:49:50
DFA,2022,DFA_2022_12_5a5c5f6c_application_20220926_SHfNB.JPG,https://dfaawards.com/lib/uploads/index/application_20220926_SHfNB.JPG,2969727,Silver Award,Insecta Iridesse,PLUS Collaboratives,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2022&design_category=3,2026-09-02T22:49:53
DFA,2022,DFA_2022_13_f6d1a63d_application_20220926_n8DGM.png,https://dfaawards.com/lib/uploads/index/application_20220926_n8DGM.png,118743,Silver Award,Lemon no ki,HIDAMARI Ltd.,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2022&design_category=3,2026-09-02T22:49:54
DFA,2022,DFA_2022_14_01dcfe10_application_20221026_ZermP.jpg,https://dfaawards.com/lib/uploads/index/application_20221026_ZermP.jpg,4797860,Silver Award,Moon light-Gemgarden,Linshaobin Design,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2022&design_category=3,2026-09-02T22:49:59
DFA,2022,DFA_2022_15_4e352683_application_20220926_z5cQX.jpg,https://dfaawards.com/lib/uploads/index/application_20220926_z5cQX.jpg,1740030,Silver Award,Music Moon,"SHEN ZHEN SHAN TIAN TU WEN HUA CHUAN BO CO.,LTD",https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2022&design_category=3,2026-09-02T22:50:02
DFA,2022,DFA_2022_16_abf28330_application_20220926_DMFBx.jpg,https://dfaawards.com/lib/uploads/index/application_20220926_DMFBx.jpg,143438,Silver Award,New Vision Arts Festival 2021,CoDesign Ltd,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2022&design_category=3,2026-09-02T22:50:04
DFA,2023,DFA_2023_01_8f3e2e77_application_20231024_YxcT9.jpg,https://dfaawards.com/lib/uploads/index/application_20231024_YxcT9.jpg,413856,Gold Award,JAGDA POSTER EXHIBITION DESIGN,TODOT,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2023&design_category=3,2026-09-02T22:50:09
DFA,2023,DFA_2023_02_9e4cfc0e_application_20231027_VMJPf.jpg,https://dfaawards.com/lib/uploads/index/application_20231027_VMJPf.jpg,803402,Gold Award,Liang Bai Kai· 12 Earthy Branches,"Shenzhen Tigerpan Design Co., Ltd.",https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2023&design_category=3,2026-09-02T22:50:11
DFA,2023,DFA_2023_03_b5ee1fcc_application_20231027_NJjoD.jpg,https://dfaawards.com/lib/uploads/index/application_20231027_NJjoD.jpg,627767,Gold Award,"Memories of the East Street in Xi'an: Images, Words and Narratives",Local Bendi,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2023&design_category=3,2026-09-02T22:50:18
DFA,2023,DFA_2023_04_046515e1_application_20231024_5LY7P.jpg,https://dfaawards.com/lib/uploads/index/application_20231024_5LY7P.jpg,1292912,Gold Award,Okayama Destination Campaign,iyamadesign inc.,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2023&design_category=3,2026-09-02T22:50:22
DFA,2023,DFA_2023_05_c912e919_application_20231024_G9a49.jpg,https://dfaawards.com/lib/uploads/index/application_20231024_G9a49.jpg,3553973,Silver Award,All Weaves In My Heart,noonhappyhour,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2023&design_category=3,2026-09-02T22:50:27
DFA,2023,DFA_2023_06_16870d1b_application_20231024_D892n.jpg,https://dfaawards.com/lib/uploads/index/application_20231024_D892n.jpg,2553363,Silver Award,Bad Design,T-Workshop,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2023&design_category=3,2026-09-02T22:50:30
DFA,2023,DFA_2023_07_6310e882_application_20231024_TLw9D.jpg,https://dfaawards.com/lib/uploads/index/application_20231024_TLw9D.jpg,2348117,Silver Award,CONSERVING JAMES WONG,YIU KWOK HO,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2023&design_category=3,2026-09-02T22:50:36
DFA,2023,DFA_2023_08_1bc6c2d8_application_20231024_PIpRT.jpg,https://dfaawards.com/lib/uploads/index/application_20231024_PIpRT.jpg,4605954,Silver Award,EVERYTHING MAGAZINE,"Ductstore the design guru Co.,Ltd.",https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2023&design_category=3,2026-09-02T22:50:39
DFA,2023,DFA_2023_09_55e1e67d_application_20231024_kFFHl.jpg,https://dfaawards.com/lib/uploads/index/application_20231024_kFFHl.jpg,335577,Silver Award,GDC Award 30 Years,LiaoDesign,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2023&design_category=3,2026-09-02T22:50:41
DFA,2023,DFA_2023_10_000a9c1b_application_20231024_ptHrP.jpg,https://dfaawards.com/lib/uploads/index/application_20231024_ptHrP.jpg,680947,Silver Award,HASHIZUME,EIGHT BRANDING DESIGN,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2023&design_category=3,2026-09-02T22:50:42
DFA,2023,DFA_2023_11_4d156341_application_20231024_eccHF.jpg,https://dfaawards.com/lib/uploads/index/application_20231024_eccHF.jpg,2375016,Silver Award,Nikasi,"Shenzhen Tigerpan Design Co., Ltd.",https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2023&design_category=3,2026-09-02T22:50:45
DFA,2023,DFA_2023_12_fb205797_application_20231024_jBiZO.jpg,https://dfaawards.com/lib/uploads/index/application_20231024_jBiZO.jpg,928763,Silver Award,Seeping into Darkness——DAIDO MORIYAMA,StudioTODO,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2023&design_category=3,2026-09-02T22:50:49
DFA,2023,DFA_2023_13_68648741_application_20231024_76L2x.jpg,https://dfaawards.com/lib/uploads/index/application_20231024_76L2x.jpg,3922114,Silver Award,TSUSHIMA MUSEUM,"6D-K co.,Ltd.",https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2023&design_category=3,2026-09-02T22:50:53
DFA,2023,DFA_2023_14_115646d0_application_20231027_96MF9.jpg,https://dfaawards.com/lib/uploads/index/application_20231027_96MF9.jpg,1987137,Bronze Award,"BECOMING — BIFT GRADUATION WORKS BA, CLASS OF 2022",Mint Design,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2023&design_category=3,2026-09-02T22:50:55
DFA,2023,DFA_2023_15_34b6592b_application_20231027_VvYqm.jpg,https://dfaawards.com/lib/uploads/index/application_20231027_VvYqm.jpg,4595513,Bronze Award,Breath，Tomorrow，Hope，Future,ken-tsai lee design lab/Taiwan tech,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2023&design_category=3,2026-09-02T22:51:02
DFA,2023,DFA_2023_16_58370ec3_application_20231027_NUK1E.jpg,https://dfaawards.com/lib/uploads/index/application_20231027_NUK1E.jpg,4502578,Bronze Award,EAST MEETS EAST,CL3 Architects Limited,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2023&design_category=3,2026-09-02T22:51:06
DFA,2024,DFA_2024_01_09b2832a_application_20241030_NAYWg.JPG,https://dfaawards.com/lib/uploads/index/application_20241030_NAYWg.JPG,2492474,Gold Award,50 GRIPS,"Arakawa & Co., Ltd.  /  STUDIO BYCOLOR Inc.",https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2024&design_category=3,2026-09-02T22:51:10
DFA,2024,DFA_2024_02_816ea828_application_20241030_reaCt.jpg,https://dfaawards.com/lib/uploads/index/application_20241030_reaCt.jpg,4211072,Gold Award,MUJI Campsite “Water and Branches”,garden inc.,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2024&design_category=3,2026-09-02T22:51:13
DFA,2024,DFA_2024_03_9c215fc2_application_20241030_qOL8R.jpg,https://dfaawards.com/lib/uploads/index/application_20241030_qOL8R.jpg,2741407,Gold Award,Park Solo,for&st,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2024&design_category=3,2026-09-02T22:51:17
DFA,2024,DFA_2024_04_b92c209d_application_20241030_O23rQ.jpg,https://dfaawards.com/lib/uploads/index/application_20241030_O23rQ.jpg,3843180,Gold Award,PROUD LIBERICA COFFEE,LIFULL,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2024&design_category=3,2026-09-02T22:51:21
DFA,2024,DFA_2024_05_26b76c81_application_20241030_KbnrG.jpg,https://dfaawards.com/lib/uploads/index/application_20241030_KbnrG.jpg,2201703,Silver Award,Antoni Tapies-Dialogue with Objects,Bai Fengkun,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2024&design_category=3,2026-09-02T22:51:24
DFA,2024,DFA_2024_06_b2a921ba_application_20241030_U5beM.jpg,https://dfaawards.com/lib/uploads/index/application_20241030_U5beM.jpg,4312475,Silver Award,Aoyama Ototo,bluelake inc.,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2024&design_category=3,2026-09-02T22:51:28
DFA,2024,DFA_2024_07_8ba0652b_application_20241030_BocTb.jpg,https://dfaawards.com/lib/uploads/index/application_20241030_BocTb.jpg,3648785,Silver Award,JARDINE HOUSE 50TH ANNIVERSARY AND FORWARD,84000 Communications Limited,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2024&design_category=3,2026-09-02T22:51:31
DFA,2024,DFA_2024_08_82ab12f8_application_20241030_oenXm.jpg,https://dfaawards.com/lib/uploads/index/application_20241030_oenXm.jpg,2608987,Silver Award,Seoul Construction Fence Design Guideline,SUNNY ISLAND,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2024&design_category=3,2026-09-02T22:51:34
DFA,2024,DFA_2024_09_26b7cb54_application_20241031_GGucK.jpg,https://dfaawards.com/lib/uploads/index/application_20241031_GGucK.jpg,1309160,Bronze Award,Choice of Heart,IDEAFINE,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2024&design_category=3,2026-09-02T22:51:36
DFA,2024,DFA_2024_10_7dab365d_application_20241031_fHJ4X.jpg,https://dfaawards.com/lib/uploads/index/application_20241031_fHJ4X.jpg,801683,Bronze Award,CLUB HARIE  Haneda Airport Limited Package,Ono and Associates Inc.,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2024&design_category=3,2026-09-02T22:51:38
DFA,2024,DFA_2024_11_a2826bc7_application_20241031_H2LeG.jpg,https://dfaawards.com/lib/uploads/index/application_20241031_H2LeG.jpg,4196291,Bronze Award,FULL MOON__PAST : PRESENT : FUTURE,84000 Communications Limited,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2024&design_category=3,2026-09-02T22:51:42
DFA,2024,DFA_2024_12_b8697077_application_20241031_3qwAJ.jpg,https://dfaawards.com/lib/uploads/index/application_20241031_3qwAJ.jpg,285441,Bronze Award,HUSHIGUANG Art Eco Site,jpgDesign,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2024&design_category=3,2026-09-02T22:51:44
DFA,2024,DFA_2024_13_ded234c2_application_20241031_yvECC.jpg,https://dfaawards.com/lib/uploads/index/application_20241031_yvECC.jpg,1743790,Bronze Award,Motion & Graphic Typography 2023 Typocology Design Exhibition,THE END DESIGN,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2024&design_category=3,2026-09-02T22:51:47
DFA,2024,DFA_2024_14_a1c54e69_application_20241031_4fdc7.jpg,https://dfaawards.com/lib/uploads/index/application_20241031_4fdc7.jpg,3609257,Bronze Award,MUJI Campsite “Embroidery”,garden inc.,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2024&design_category=3,2026-09-02T22:51:58
DFA,2024,DFA_2024_15_3709371c_application_20241031_bbTZG.jpg,https://dfaawards.com/lib/uploads/index/application_20241031_bbTZG.jpg,3876599,Bronze Award,MUJI Campsite “Roots”,garden inc.,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2024&design_category=3,2026-09-02T22:52:01
DFA,2024,DFA_2024_16_f2cb3c9a_application_20241031_78HWD.png,https://dfaawards.com/lib/uploads/index/application_20241031_78HWD.png,4766641,Bronze Award,Sakanakaruta,"Chiba Print Co.,Ltd",https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2024&design_category=3,2026-09-02T22:52:08
